"schema_version","role","path","size_bytes","hash_algorithm","digest"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/00-mixture-generator.R",7625,"md5","107c1445650b2f18b130bf7513eb1be1"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/01-multiscale-scenarios.R",5270,"md5","89b0dd63a65f9dbf0e025ba7188152b0"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/02-paired-observations.R",9498,"md5","8d2817a341f5451331562b925d3ee19d"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/03-conventional-baselines.R",5750,"md5","dd3f20dcbe576a24293d06eb54882678"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/04-canonical-figure.R",13211,"md5","fe81acc53226ce57c22d302111f9eda4"
"matched-interpretability-checksums-v1","source","benchmarks/matched-interpretability/05-certify.R",18353,"md5","57ddb31277f41c3423bbee819b71d422"
"matched-interpretability-checksums-v1","contract","design/matched-interpretability-simulation-contract.md",11236,"md5","ec65349534fdcc79ee64999b70848da8"
"matched-interpretability-checksums-v1","evidence_ledger","inst/extdata/certification/evidence-status-ledger.csv",9556,"md5","f01b05bde122dfbdb3a168638b0386f0"
"matched-interpretability-checksums-v1","numeric_artifact","inst/extdata/certification/matched-interpretability-parameters.csv",825,"md5","5f5d4177831a75cb7a5f1089a9ca6061"
"matched-interpretability-checksums-v1","numeric_artifact","inst/extdata/certification/matched-interpretability-truth.csv",10137,"md5","b4a80dc321dfdf0ea9e3ebc0a2918323"
"matched-interpretability-checksums-v1","numeric_artifact","inst/extdata/certification/matched-interpretability-summary.csv",195655,"md5","c8ac1d8c01bea878ba9993d52ec7ef60"
"matched-interpretability-checksums-v1","numeric_artifact","inst/extdata/certification/matched-interpretability-metrics.csv",4530,"md5","e855ffc4eae0aa64c6a72ba7ce804b01"
"matched-interpretability-checksums-v1","numeric_artifact","inst/extdata/certification/matched-interpretability-figure-data.csv",15252,"md5","1477d948fdec433564924c9ed40096ac"
"matched-interpretability-checksums-v1","numeric_artifact","vignettes/matched-interpretability.Rmd",4137,"md5","b48b90275a34c61e4e49354c9169c863"
"matched-interpretability-checksums-v1","semantic_plot","inst/extdata/certification/matched-interpretability-figure.png",181870,"semantic_render_check",""
