"panel","quantity","contrast","group","value","tolerance","passes","note"
"B","whole_vt_total","face - house","whole VT",251.522986302283,NA,NA,"the global budget: contrast total under whole_brain(""none"")"
"B","whole_vt_total","animate - inanimate","whole VT",51.634615419203,NA,NA,"the global budget: contrast total under whole_brain(""none"")"
"A","local_frame_conserved",NA,NA,0,NA,NA,"frame_conservation(local)$conserved is FALSE: a detection map has no budget (contract 1.1)"
"A","local_frame_feature_mass_max_deviation",NA,NA,0.556066259162234,NA,NA,"max |sum_x w_xv - 1| for the local frame; overlapping nodes double-count"
"A","local_map_sum","face - house",NA,263.993494250415,NA,NA,"NOT an estimate of anything: summing a detection map double-counts shared voxels (contract 1.1)"
"A","local_map_sum_over_whole_vt_total","face - house",NA,1.04957999319054,NA,NA,"how far the meaningless sum lands from the budget it is not"
"A","local_map_peak_total","face - house","70017",1.76779729182002,NA,NA,"peak of the detection map; the reading a detection map admits"
"A","local_map_median_total","face - house",NA,0.272603101073533,NA,NA,"median node of the detection map (intensive)"
"A","local_map_sum","animate - inanimate",NA,54.3957922252109,NA,NA,"NOT an estimate of anything: summing a detection map double-counts shared voxels (contract 1.1)"
"A","local_map_sum_over_whole_vt_total","animate - inanimate",NA,1.05347530495949,NA,NA,"how far the meaningless sum lands from the budget it is not"
"A","local_map_peak_total","animate - inanimate","64935",0.300925122402612,NA,NA,"peak of the detection map; the reading a detection map admits"
"A","local_map_median_total","animate - inanimate",NA,0.0885689486578251,NA,NA,"median node of the detection map (intensive)"
"A","contribution_on_local_refused",NA,"conservative_frame",1,NA,NA,"catch_refusal(contribution(local_view, by = ...))$capability == ""conservative_frame"""
"B","frame_column_mass_max_deviation",NA,NA,6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels; the frame partitions each voxel's evidence exactly once"
"B","conservative_total_sum","face - house",NA,251.522986302283,NA,NA,"sum over the 577 conservative searchlights"
"B","conservation_identity","face - house",NA,-1.70530256582424e-13,1e-10,TRUE,"sum_x total_x - whole_VT_total under whole_brain(""none"") (contract 2, claim 2)"
"B","conservation_identity_relative","face - house",NA,-6.77990743865766e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"B","attribution_map_negative_nodes","face - house",NA,13,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"B","conservative_total_sum","animate - inanimate",NA,51.634615419203,NA,NA,"sum over the 577 conservative searchlights"
"B","conservation_identity","animate - inanimate",NA,-1.4210854715202e-14,1e-10,TRUE,"sum_x total_x - whole_VT_total under whole_brain(""none"") (contract 2, claim 2)"
"B","conservation_identity_relative","animate - inanimate",NA,-2.75219532475049e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"B","attribution_map_negative_nodes","animate - inanimate",NA,32,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"B","ledger_closes","face - house",NA,-1.70530256582424e-13,1e-10,TRUE,"sum over territories minus sum over nodes; contribution() only adds"
"B","ledger_total","face - house","face-selective",2.04926231856261,NA,NA,"9 searchlights centred in this territory"
"B","ledger_budget_share","face - house","face-selective",0.00814741566442671,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","face - house","face-selective",0.0338211619915144,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"B","ledger_total","face - house","house-selective",137.979044159701,NA,NA,"163 searchlights centred in this territory"
"B","ledger_budget_share","face - house","house-selective",0.548574292108141,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","face - house","house-selective",0.872994569270587,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"B","ledger_total","face - house","other VT",111.49467982402,NA,NA,"405 searchlights centred in this territory"
"B","ledger_budget_share","face - house","other VT",0.443278292227431,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","face - house","other VT",0.576533885569157,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"B","ledger_closes","animate - inanimate",NA,4.2632564145606e-14,1e-10,TRUE,"sum over territories minus sum over nodes; contribution() only adds"
"B","ledger_total","animate - inanimate","face-selective",1.17925597138128,NA,NA,"9 searchlights centred in this territory"
"B","ledger_budget_share","animate - inanimate","face-selective",0.0228384768978587,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","animate - inanimate","face-selective",0.352678754705172,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"B","ledger_total","animate - inanimate","house-selective",14.4451230136282,NA,NA,"163 searchlights centred in this territory"
"B","ledger_budget_share","animate - inanimate","house-selective",0.279756572143579,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","animate - inanimate","house-selective",0.705033324266045,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"B","ledger_total","animate - inanimate","other VT",36.0102364341935,NA,NA,"405 searchlights centred in this territory"
"B","ledger_budget_share","animate - inanimate","other VT",0.697404950958563,NA,NA,"this territory's share of the whole-VT budget"
"B","ledger_coherence_fraction","animate - inanimate","other VT",0.539372041315726,NA,NA,"frame-relative: a share of THIS frame's coherent mass (contract 4)"
"C","signed_spectrum_negative_roots",NA,"whole VT",2,NA,NA,"the signed layer keeps negative roots; it never truncates them"
"C","signed_spectrum_min_root",NA,"whole VT",-9.09525945884232,NA,NA,"most negative crossvalidated root at whole VT"
