"subject","quantity","value","tolerance","passes","note"
"subj1","vt_voxels_analyzed",577,NA,NA,"domain features: mask4_vt voxels that vary in every run (09's domain)"
"subj1","native_region_voxels: face-territory",9,NA,NA,"voxels in this subject's face-territory; a native node exists only when this is > 0"
"subj1","native_region_voxels: house-territory",163,NA,NA,"voxels in this subject's house-territory; a native node exists only when this is > 0"
"subj1","native_region_voxels: other-VT",405,NA,NA,"voxels in this subject's other-VT; a native node exists only when this is > 0"
"subj1","native_nodes",3,NA,NA,"region rows in the conservative frame = rows of this subject's transport"
"subj1","roi_overlap_voxels",0,NA,NA,"voxels in both mask8_face_vt and mask8_house_vt; assigned to face-territory (09's convention)"
"subj1","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj1","n_run_pairs",66,NA,NA,"unordered run pairs the crossvalidated estimate averages over, choose(runs, 2)"
"subj1","frame_column_mass_max_deviation",0,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: the three territories partition VT exactly once"
"subj1","whole_vt_total: face-house",251.522986302283,NA,NA,"the budget: contrast total over whole VT under whole_brain(""none"")"
"subj1","native_region_ledger_sum: face-house",251.522986302283,NA,NA,"sum over the subject's three territory nodes, before transport"
"subj1","whole_vt_total: animate-inanimate",39.2204959904416,NA,NA,"the budget: contrast total over whole VT under whole_brain(""none"")"
"subj1","native_region_ledger_sum: animate-inanimate",39.2204959904415,NA,NA,"sum over the subject's three territory nodes, before transport"
"subj1","region_ledger_vs_whole_vt",1.98951966012828e-13,1e-10,TRUE,"max over queries of sum_x region_x - whole_VT_total: the tie back to 09"
"subj1","transport_budget_preservation",1.12998457310961e-16,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"subj1","transport_executor_agreement",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response for it|. Exact by construction (both sides query before transporting), so it pins the executor's plumbing and is NOT the commutation claim; that is commutation_claim3"
"subj1","density_nonconservation_relative",0.993179568749937,NA,NA,"max relative gap between the density column sum and the native total. Arithmetic, not a law: dividing each column by its territory size misses the total by about 1 - 1/(mean territory size). Recorded because contract 1.3 says a density conserves nothing"
"subj1","transport_node_sum_plus_sink",2.8421709430404e-14,1e-12,TRUE,"max over queries of sum over group nodes and sink minus the transported total"
"subj1","transport_sink_budget",0,1e-12,TRUE,"sink budget in budget units; exactly zero because the region map has full coverage"
"subj1","transport_sink_territory",0,1e-12,TRUE,"unmapped native territory, a property of P alone (contract 7.5); zero at region level"
"subj1","subject_transported_value: face-territory: face-house",4.57705436224594,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj1","subject_transported_value: house-territory: face-house",162.907179106058,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj1","subject_transported_value: other-VT: face-house",84.0387528339794,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj1","subject_transported_value: face-territory: animate-inanimate",3.44426062682321,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj1","subject_transported_value: house-territory: animate-inanimate",9.87365573787871,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj1","subject_transported_value: other-VT: animate-inanimate",25.9025796257396,NA,NA,"this subject's carried territory ledger at that group node; the group fit's response"
"subj2","vt_voxels_analyzed",464,NA,NA,"domain features: mask4_vt voxels that vary in every run (09's domain)"
"subj2","native_region_voxels: face-territory",9,NA,NA,"voxels in this subject's face-territory; a native node exists only when this is > 0"
"subj2","native_region_voxels: house-territory",48,NA,NA,"voxels in this subject's house-territory; a native node exists only when this is > 0"
"subj2","native_region_voxels: other-VT",407,NA,NA,"voxels in this subject's other-VT; a native node exists only when this is > 0"
"subj2","native_nodes",3,NA,NA,"region rows in the conservative frame = rows of this subject's transport"
"subj2","roi_overlap_voxels",0,NA,NA,"voxels in both mask8_face_vt and mask8_house_vt; assigned to face-territory (09's convention)"
"subj2","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj2","n_run_pairs",66,NA,NA,"unordered run pairs the crossvalidated estimate averages over, choose(runs, 2)"
"subj2","frame_column_mass_max_deviation",0,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: the three territories partition VT exactly once"
"subj2","whole_vt_total: face-house",83.4028530745292,NA,NA,"the budget: contrast total over whole VT under whole_brain(""none"")"
"subj2","native_region_ledger_sum: face-house",83.4028530745291,NA,NA,"sum over the subject's three territory nodes, before transport"
"subj2","whole_vt_total: animate-inanimate",24.1550792344686,NA,NA,"the budget: contrast total over whole VT under whole_brain(""none"")"
