"claim_id","owner","current_status","strongest_current_class","strongest_current_artifact","limitation","promotion_history"
"CF-H01","core_geometry","supported_bounded","algebraic_theorem","design/common-geometry-equivalence.md","Fixed linear queries only; nonlinear and adaptive statistics remain outside the identity.","design/evidence-promotion-history.md#cf-h01"
"CF-H02","component_decomposition","supported_bounded","algebraic_theorem","design/conservative-geometry-contract.md","Exact additivity does not imply nonnegative finite-sample crossvalidated components.","design/evidence-promotion-history.md#cf-h02"
"CF-H03","conservative_frames","supported_bounded","algebraic_theorem","design/conservative-geometry-contract.md","Conservation applies to the declared total budget under the admitted additive metric.","design/evidence-promotion-history.md#cf-h03"
"CF-H04","observation_ingestion","supported_bounded","matched_simulation","benchmarks/run-first-moment-vertical-slice.R","One versioned linear-model fixture is not universal BIDS or GLM coverage.","design/evidence-promotion-history.md#cf-h04"
"CF-H05","execution_engine","supported_bounded","internal_oracle","inst/extdata/certification/query-first-scale-gate.rds","The recorded R-heap and route comparison are not a cross-package speed or OS-RSS claim.","design/evidence-promotion-history.md#cf-h05"
"CF-H06","external_parity","supported_bounded","external_parity","exemplars/rsatoolbox-parity/results/parity-manifest.csv","Parity is version-pinned to one fixed-linear synthetic case and one bounded Haxby route.","design/evidence-promotion-history.md#cf-h06"
"CF-H07","cross_domain_geometry","supported_bounded","matched_simulation","exemplars/er-rsa/results/recovery-verdicts.csv","Designed encoding-retrieval simulation only; no empirical cross-domain result.","design/evidence-promotion-history.md#cf-h07"
"CF-H08","population_estimand","supported_bounded","algebraic_theorem","design/population-estimand-contract.md","The target is conditional on realized transport and excludes transport-estimation uncertainty.","design/evidence-promotion-history.md#cf-h08"
"CF-H09","population_uncertainty","supported_synthetic_regimes","matched_simulation","inst/extdata/certification/population-calibration-results.csv","Calibration covers declared synthetic regimes; informative coverage supports no marginal population claim.","design/evidence-promotion-history.md#cf-h09"
"CF-H10","interpretability_program","supported_synthetic_regimes","matched_simulation","inst/extdata/certification/population-interpretability-results.csv","Planted synthetic organizations only; no empirical neuroscience interpretation or power claim.","design/evidence-promotion-history.md#cf-h10"
"CF-H11","transport_comparison","unsupported_retrospective","existing_illustration","exemplars/population-slice2/README.md","The retrospective transport-efficiency ratio failed its interpretation audit.","design/evidence-promotion-history.md#cf-h11"
"CF-H12","prospective_program","blocked_not_executed","prospective_protocol","protocols/prospective/discovery-v1.json","Protocol is frozen and rehearsed but readiness is BLOCKED; no eligible result or replication exists.","design/evidence-promotion-history.md#cf-h12"
"CF-H13","refusal_system","supported_bounded","internal_oracle","vignettes/failure-gallery.Rmd","The executable gallery covers named gates rather than every possible misuse.","design/evidence-promotion-history.md#cf-h13"
"CF-H14","covariance_extension","blocked_not_implemented","prospective_protocol","design/cross-node-covariance-contract.md","Cross-node covariance and joint spatial inference remain future capabilities that current APIs refuse.","design/evidence-promotion-history.md#cf-h14"
