"subject","quantity","value","tolerance","passes","note"
"sub-104","native_searchlight_nodes",63860,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-104","coverage_voxels_seven_run_intersection",63863,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-104","degenerate_voxels_dropped",3,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-104","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-104","glm_residual_df_min",182,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-104","glm_censored_volumes_total",14,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-104","glm_mean_framewise_displacement",0.0966200918199917,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-104","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-104","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-105","native_searchlight_nodes",65332,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-105","coverage_voxels_seven_run_intersection",65341,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-105","degenerate_voxels_dropped",9,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-105","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-105","glm_residual_df_min",188,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-105","glm_censored_volumes_total",0,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-105","glm_mean_framewise_displacement",0.0801707379555044,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-105","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-105","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-107","native_searchlight_nodes",66772,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-107","coverage_voxels_seven_run_intersection",66783,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-107","degenerate_voxels_dropped",11,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-107","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-107","glm_residual_df_min",188,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-107","glm_censored_volumes_total",1,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-107","glm_mean_framewise_displacement",0.100867435474389,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-107","glm_trust_nuisance_levels",0,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-107","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-108","native_searchlight_nodes",60443,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-108","coverage_voxels_seven_run_intersection",60444,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-108","degenerate_voxels_dropped",1,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-108","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-108","glm_residual_df_min",180,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-108","glm_censored_volumes_total",13,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-108","glm_mean_framewise_displacement",0.114058621993733,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-108","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-108","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-112","native_searchlight_nodes",60938,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-112","coverage_voxels_seven_run_intersection",60940,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-112","degenerate_voxels_dropped",2,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-112","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-112","glm_residual_df_min",183,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-112","glm_censored_volumes_total",10,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-112","glm_mean_framewise_displacement",0.129040390359091,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-112","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-112","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-113","native_searchlight_nodes",62941,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-113","coverage_voxels_seven_run_intersection",62945,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-113","degenerate_voxels_dropped",4,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-113","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-113","glm_residual_df_min",187,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-113","glm_censored_volumes_total",5,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-113","glm_mean_framewise_displacement",0.13033139394172,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-113","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-113","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-111","native_searchlight_nodes",62926,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-111","coverage_voxels_seven_run_intersection",62927,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-111","degenerate_voxels_dropped",1,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-111","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-111","glm_residual_df_min",138,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-111","glm_censored_volumes_total",142,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-111","glm_mean_framewise_displacement",0.305602017728986,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-111","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-111","glm_shared_nuisance_levels",8,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-127","native_searchlight_nodes",69867,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-127","coverage_voxels_seven_run_intersection",69874,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-127","degenerate_voxels_dropped",7,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-127","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-127","glm_residual_df_min",187,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-127","glm_censored_volumes_total",4,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-127","glm_mean_framewise_displacement",0.153713503186359,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-127","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-127","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-128","native_searchlight_nodes",68333,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-128","coverage_voxels_seven_run_intersection",68333,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
