"claim_id","headline_claim","evidence_class","evidence_artifact","boundary","headline_documents","protocol_frozen_before_analysis","external_route","completed"
"CF-H01","Fixed linear first- and second-moment queries share one typed cross-generalized geometry.","algebraic_theorem","design/common-geometry-equivalence.md","Fixed H, K, and Gamma only; no nonlinear or adaptive statistic.","README.md;vignettes/novelty.Rmd;vignettes/common-geometry-equivalence.Rmd;design/unification-contract.md",FALSE,FALSE,TRUE
"CF-H01","Fixed linear first- and second-moment queries share one typed cross-generalized geometry.","internal_oracle","design/oracles/common-geometry-equivalence.R","Independent base-matrix oracle and package property courts; this is computational evidence.","README.md;vignettes/novelty.Rmd;vignettes/common-geometry-equivalence.Rmd",FALSE,FALSE,TRUE
"CF-H01","Fixed linear first- and second-moment queries share one typed cross-generalized geometry.","external_parity","exemplars/rsatoolbox-parity/results/parity-manifest.csv","One balanced fixed-crossnobis and fixed-OLS-RSA fixture, not every RSA method.","README.md;vignettes/novelty.Rmd;vignettes/common-geometry-equivalence.Rmd",FALSE,TRUE,TRUE
"CF-H02","Total geometry decomposes exactly into coherent and configuration components and every fixed linear query inherits the split.","algebraic_theorem","design/conservative-geometry-contract.md","Exact arithmetic does not make either finite-sample crossvalidated component nonnegative.","README.md;vignettes/introduction.Rmd;vignettes/novelty.Rmd;vignettes/conservative-frames.Rmd",FALSE,FALSE,TRUE
"CF-H02","Total geometry decomposes exactly into coherent and configuration components and every fixed linear query inherits the split.","internal_oracle","design/oracles/unification-vocabulary.R","Independent finite-matrix construction plus production recomposition tests.","vignettes/introduction.Rmd;vignettes/conservative-frames.Rmd",FALSE,FALSE,TRUE
"CF-H02","Total geometry decomposes exactly into coherent and configuration components and every fixed linear query inherits the split.","matched_simulation","vignettes/introduction.Rmd","Generated planted truth validates interpretation only in the declared fixture.","README.md;vignettes/introduction.Rmd;vignettes/novelty.Rmd",FALSE,FALSE,TRUE
"CF-H02","Total geometry decomposes exactly into coherent and configuration components and every fixed linear query inherits the split.","existing_illustration","exemplars/haxby2001/results/coherent-configuration.rds","Retrospective one-subject Haxby illustration; no frozen hypothesis, population inference, or neuroscience replication.","README.md;vignettes/novelty.Rmd",FALSE,TRUE,TRUE
"CF-H03","Conservative frames preserve the declared total budget and frame-family alpha fixes each scale total.","algebraic_theorem","design/conservative-geometry-contract.md","Total geometry under the admitted additive metric; coherent energy is not conserved across overlapping nodes.","README.md;vignettes/conservative-frames.Rmd;vignettes/novelty.Rmd",FALSE,FALSE,TRUE
"CF-H03","Conservative frames preserve the declared total budget and frame-family alpha fixes each scale total.","internal_oracle","design/oracles/conservative-multiscale-ledger.R","Independent conservation and overlap-accounting courts.","vignettes/conservative-frames.Rmd;vignettes/novelty.Rmd",FALSE,FALSE,TRUE
"CF-H04","Typed observations can be compiled to an identified relation and then to geometry without changing the declared estimand.","matched_simulation","benchmarks/run-first-moment-vertical-slice.R","One versioned linear-model fixture; not universal BIDS, HRF, censoring, or GLM coverage.","vignettes/from-observations.Rmd;vignettes/novelty.Rmd",FALSE,FALSE,TRUE
"CF-H05","Query-first execution preserves the estimand while avoiding full geometry materialization in the certified regime.","internal_oracle","inst/extdata/certification/query-first-scale-gate.rds","Recorded q=100 searchlight regime and R-heap receipt; not a cross-package speed or OS-RSS claim.","README.md;vignettes/novelty.Rmd",FALSE,FALSE,TRUE
"CF-H06","Crossform reproduces mapped crossnobis outputs from independent implementations.","external_parity","exemplars/haxby2001/results/smoke-report.md","Haxby subject 1 regression evidence and rMVPA parity on one matched squared-Euclidean estimand.","README.md;vignettes/novelty.Rmd;vignettes/introduction.Rmd",FALSE,TRUE,TRUE
"CF-H06","Crossform reproduces mapped crossnobis outputs from independent implementations.","external_parity","exemplars/rsatoolbox-parity/results/parity-manifest.csv","Pinned synthetic rsatoolbox case with source binding; no correlation distance or inference parity.","README.md;vignettes/novelty.Rmd;vignettes/common-geometry-equivalence.Rmd",FALSE,TRUE,TRUE
"CF-H07","Rectangular cross-domain queries reuse the same bilinear geometry.","matched_simulation","exemplars/er-rsa/results/recovery-verdicts.csv","Designed encoding-retrieval simulation with planted truth; no empirical encoding-retrieval result.","vignettes/novelty.Rmd;vignettes/evidence-pairing.Rmd",FALSE,FALSE,TRUE
"CF-H08","Fixed population queries commute with declared linear transport and group modeling.","algebraic_theorem","design/population-estimand-contract.md","Conditional on the realized transport; no transport-estimation uncertainty is propagated.","README.md;vignettes/population-form.Rmd;design/unification-contract.md",FALSE,FALSE,TRUE
"CF-H08","Fixed population queries commute with declared linear transport and group modeling.","internal_oracle","design/oracles/population-estimand-targets.R","Independent matrix oracle plus package route; no cross-node covariance estimator.","vignettes/population-form.Rmd;design/population-estimand-contract.md",FALSE,FALSE,TRUE
"CF-H08","Fixed population queries commute with declared linear transport and group modeling.","existing_illustration","exemplars/population-slice2/results/population-slice2-receipts.csv","Retrospective ds003745 execution/diagnostic evidence; no frozen hypothesis and no scientific transport-superiority result.","vignettes/population-form.Rmd;vignettes/novelty.Rmd",FALSE,TRUE,TRUE
