"subject","quantity","value","tolerance","passes","note"
"subj1","vt_voxels_in_mask",577,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj1","vt_voxels_analyzed",577,NA,NA,"domain features: mask voxels that vary in every run"
"subj1","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj1","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj1","n_run_pairs",66,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj1","n_searchlights",577,NA,NA,"conservative searchlights, r = 8 mm"
"subj1","median_searchlight_voxels",18,NA,NA,"median node support at that radius"
"subj1","frame_column_mass_max_deviation",6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj1","whole_vt_total",251.522986302283,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj1","conservative_total_sum",251.522986302283,NA,NA,"sum over the conservative searchlights"
"subj1","conservation_identity",-1.70530256582424e-13,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj1","conservation_identity_relative",-6.77990743865766e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj1","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj1","coherent_share_base_radius",0.734742889123204,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj1","attribution_map_negative_nodes",13,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj1","half_budget_nodes",115,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
"subj1","territory_budget_share: face-selective",0.00814741566442671,NA,NA,"9 searchlights centred in Haxby's face-selective ROI"
"subj1","territory_budget_share: house-selective",0.548574292108141,NA,NA,"163 searchlights centred in Haxby's house-selective ROI"
"subj1","territory_budget_share: other VT",0.443278292227431,NA,NA,"405 searchlights centred in Haxby's other VT ROI"
"subj1","territory_ledger_closes",-1.70530256582424e-13,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj1","n_quirks",0,NA,NA,"none: 12 runs, all 8 conditions, no degenerate voxels, all masks present"
"subj2","vt_voxels_in_mask",464,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj2","vt_voxels_analyzed",464,NA,NA,"domain features: mask voxels that vary in every run"
"subj2","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj2","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj2","n_run_pairs",66,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj2","n_searchlights",464,NA,NA,"conservative searchlights, r = 8 mm"
"subj2","median_searchlight_voxels",15,NA,NA,"median node support at that radius"
"subj2","frame_column_mass_max_deviation",6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj2","whole_vt_total",83.4028530745292,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj2","conservative_total_sum",83.4028530745291,NA,NA,"sum over the conservative searchlights"
"subj2","conservation_identity",-9.9475983006414e-14,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj2","conservation_identity_relative",-1.19271678772813e-15,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj2","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj2","coherent_share_base_radius",0.551294268058329,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj2","attribution_map_negative_nodes",25,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj2","half_budget_nodes",81,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
